HomeTeam,FTHG,FTAG,HTHG,HTAG
Bristol City,2,1,0,0
Derby,1,0,0,0
Ipswich,4,2,2,2
Millwall,3,1,1,1
Preston,1,0,0,0
Sheffield Weds,2,2,0,1
Sunderland,1,3,0,0
Birmingham,0,1,0,1
Sheffield United,1,2,0,1
Aston Villa,0,0,0,0
Barnsley,0,3,0,2
Burton,1,2,0,0
Fulham,1,0,1,0
Hull,3,2,0,0
Middlesbrough,2,0,1,0
Norwich,3,1,0,1
Nott'm Forest,3,2,1,1
QPR,1,3,0,0
Wolves,0,0,0,0
Reading,2,2,2,0
Sheffield Weds,0,1,0,1
Birmingham,1,2,0,1
Bolton,0,1,0,1
Brentford,0,0,0,0
Bristol City,2,1,2,0
Cardiff,1,0,0,0
Derby,2,0,1,0
Ipswich,2,0,2,0
Leeds,1,0,1,0
Millwall,2,1,2,0
Preston,1,0,0,0
Sunderland,1,0,0,0
Norwich,1,2,0,2
Aston Villa,2,2,2,2
Bolton,2,0,0,0
Derby,3,0,3,0
Fulham,2,1,0,0
Leeds,1,0,1,0
Preston,1,1,0,0
QPR,1,1,1,0
Reading,1,2,0,1
Sheffield Weds,1,2,1,0
Sunderland,1,1,1,1
Wolves,1,0,1,0
Barnsley,0,0,0,0
Birmingham,0,2,0,1
Brentford,2,1,1,1
Bristol City,2,0,0,0
Burton,1,2,1,0
Cardiff,2,4,0,1
Hull,0,0,0,0
Ipswich,0,0,0,0
Middlesbrough,2,0,0,0
Millwall,2,2,1,1
Nott'm Forest,0,3,0,2
Sheffield United,3,0,1,0
Cardiff,0,1,0,0
Millwall,1,0,0,0
Barnsley,1,1,0,0
Birmingham,1,0,0,0
Brentford,2,0,1,0
Bristol City,1,2,0,0
Burton,0,0,0,0
Hull,2,2,2,0
Ipswich,1,2,0,1
Middlesbrough,0,1,0,0
Nott'm Forest,0,1,0,1
Sheffield United,0,1,0,1
Aston Villa,5,0,2,0
Bolton,1,0,1,0
Derby,1,1,1,0
Leeds,0,0,0,0
Norwich,2,1,0,1
Preston,2,3,2,1
QPR,2,1,0,0
Sheffield Weds,0,3,0,1
Sunderland,0,1,0,0
Fulham,4,1,0,1
Reading,0,2,0,1
Wolves,3,0,0,0
Sheffield United,0,0,0,0
Barnsley,0,0,0,0
Birmingham,0,3,0,1
Brentford,2,0,1,0
Bristol City,0,1,0,0
Burton,1,3,1,1
Cardiff,4,0,0,0
Hull,0,0,0,0
Ipswich,1,0,0,0
Middlesbrough,0,1,0,0
Millwall,1,1,1,0
Nott'm Forest,0,1,0,1
Derby,0,0,0,0
Aston Villa,3,1,3,1
Bolton,1,1,0,0
Fulham,6,0,3,0
Leeds,3,4,0,2
Norwich,1,2,0,1
Preston,1,1,1,0
QPR,0,3,0,2
Reading,0,1,0,0
Sheffield Weds,0,0,0,0
Sunderland,1,0,1,0
Wolves,0,2,0,2
Barnsley,1,3,1,0
Brentford,0,1,0,1
Bristol City,2,0,1,0
Ipswich,0,1,0,1
Birmingham,3,1,2,0
Burton,1,3,0,1
Hull,0,0,0,0
Middlesbrough,0,0,0,0
Millwall,0,0,0,0
Nott'm Forest,0,3,0,1
Sheffield United,0,1,0,0
Bolton,1,0,0,0
Aston Villa,3,2,1,0
Derby,3,0,2,0
Fulham,2,0,0,0
Leeds,1,4,0,3
Norwich,1,0,1,0
Preston,2,1,2,1
QPR,1,0,0,0
Reading,0,2,0,0
Sheffield Weds,1,3,0,3
Sunderland,0,2,0,2
Wolves,3,0,2,0
Millwall,1,1,1,1
Barnsley,1,1,1,1
Bolton,1,1,0,1
Brentford,1,1,0,0
Bristol City,3,3,3,0
Derby,1,1,1,0
Ipswich,0,0,0,0
Middlesbrough,2,1,1,0
Nott'm Forest,0,2,0,2
Sheffield United,2,1,1,0
Wolves,2,1,2,0
Aston Villa,2,0,0,0
Cardiff,2,0,2,0
Sheffield Weds,2,0,1,0
Birmingham,0,1,0,0
Burton,0,0,0,0
Cardiff,1,0,1,0
Fulham,2,0,0,0
Preston,1,1,0,0
QPR,2,0,0,0
Sunderland,0,2,0,2
Leeds,2,2,0,2
Norwich,1,1,0,0
Aston Villa,1,1,0,1
Barnsley,1,2,0,2
Bolton,1,0,1,0
Brentford,5,0,2,0
Middlesbrough,3,1,2,1
Millwall,2,1,0,1
Nott'm Forest,1,1,0,1
Sheffield United,2,1,1,0
Bristol City,1,1,1,1
Derby,2,2,1,1
Ipswich,0,1,0,0
Wolves,2,2,2,1
Hull,1,0,0,0
Birmingham,0,2,0,2
Burton,0,1,0,0
Fulham,2,0,1,0
Leeds,1,0,1,0
Norwich,0,0,0,0
Preston,0,1,0,1
QPR,2,5,0,1
Reading,3,3,2,2
Sheffield Weds,2,4,2,1
Sunderland,3,3,1,0
Cardiff,1,0,0,0
Hull,1,1,0,1
Reading,1,3,0,2
Middlesbrough,3,0,2,0
Bolton,1,3,1,0
Bristol City,4,0,3,0
Derby,1,2,0,2
Millwall,1,1,0,1
Nott'm Forest,2,1,1,0
Birmingham,0,1,0,1
Burton,0,2,0,0
Cardiff,2,1,1,0
Fulham,3,0,2,0
Hull,1,2,0,2
Norwich,0,0,0,0
Preston,2,1,1,0
QPR,1,1,0,1
Reading,1,1,1,1
Sheffield Weds,1,2,0,0
Sunderland,0,3,0,2
Leeds,0,3,0,2
Aston Villa,4,1,1,1
Burton,0,0,0,0
Cardiff,3,2,3,0
Hull,4,3,2,3
Ipswich,0,0,0,0
Middlesbrough,3,1,2,0
Millwall,1,0,1,0
Preston,1,2,0,0
QPR,1,0,0,0
Reading,2,2,1,1
Sheffield Weds,1,1,0,0
Nott'm Forest,0,0,0,0
Aston Villa,1,3,0,2
Barnsley,1,1,1,0
Brentford,1,3,1,2
Ipswich,0,3,0,2
Sheffield United,2,0,1,0
Wolves,3,0,1,0
Barnsley,0,2,0,1
Birmingham,3,0,1,0
Bolton,1,0,1,0
Brentford,1,1,1,1
Bristol City,1,0,0,0
Fulham,2,2,2,1
Leeds,1,2,0,0
Norwich,3,2,3,1
Sheffield United,0,0,0,0
Sunderland,0,2,0,0
Wolves,3,1,2,1
Barnsley,2,2,1,1
Brentford,1,1,0,0
Cardiff,3,1,2,1
Derby,1,4,1,2
Leeds,2,1,1,0
Middlesbrough,1,2,0,2
Millwall,2,0,2,0
Norwich,0,2,0,0
Reading,1,0,1,0
Sheffield Weds,4,1,0,0
Birmingham,1,0,1,0
Hull,0,0,0,0
Bristol City,0,1,0,0
Burton,1,1,1,0
Ipswich,2,2,0,1
Preston,0,1,0,0
QPR,4,1,1,1
Sheffield United,1,1,1,0
Sunderland,1,3,0,0
Aston Villa,3,0,0,0
Bolton,0,1,0,1
Fulham,2,0,1,0
Wolves,2,2,1,1
Cardiff,0,1,0,0
Barnsley,3,2,1,0
Birmingham,1,1,0,0
Brentford,1,0,0,0
Derby,3,0,2,0
Hull,4,0,2,0
Leeds,1,1,0,0
Middlesbrough,2,0,2,0
Millwall,2,0,1,0
Norwich,3,1,1,0
Reading,1,0,1,0
Sheffield Weds,0,1,0,0
Aston Villa,1,0,0,0
Bolton,0,2,0,1
Bristol City,3,1,2,1
Burton,0,5,0,2
Fulham,1,0,1,0
Ipswich,1,0,0,0
Nott'm Forest,0,1,0,0
Preston,3,1,0,1
QPR,4,2,3,0
Sheffield United,2,1,2,0
Sunderland,1,1,0,0
Wolves,2,0,1,0
Aston Villa,1,0,1,0
Barnsley,2,2,1,0
Burton,3,1,2,1
Fulham,1,1,0,0
Hull,0,1,0,1
Middlesbrough,2,1,1,1
Norwich,0,2,0,0
Nott'm Forest,2,1,0,1
QPR,1,2,1,1
Reading,2,2,1,0
Sheffield United,1,1,0,0
Wolves,2,0,1,0
Millwall,0,3,0,0
Birmingham,2,1,1,1
Bolton,0,4,0,2
Brentford,2,1,1,1
Bristol City,5,5,2,1
Cardiff,2,1,1,0
Derby,1,2,0,1
Ipswich,0,4,0,1
Leeds,2,1,1,1
Preston,0,0,0,0
Sheffield Weds,3,0,1,0
Sunderland,1,2,1,0
Derby,3,1,0,1
Nott'm Forest,3,0,2,0
Fulham,2,1,1,1
Aston Villa,1,1,0,1
Barnsley,2,0,1,0
Burton,2,0,2,0
Hull,0,2,0,1
Middlesbrough,2,0,1,0
Norwich,2,1,1,1
Nott'm Forest,0,0,0,0
QPR,3,1,1,1
Reading,0,4,0,0
Sheffield United,0,1,0,0
Wolves,0,0,0,0
Birmingham,3,1,2,0
Bolton,3,2,0,0
Brentford,1,1,1,1
Bristol City,2,3,0,3
Cardiff,0,0,0,0
Derby,4,1,1,0
Ipswich,2,2,1,0
Leeds,2,0,1,0
Millwall,1,0,1,0
Preston,2,1,1,0
Sheffield Weds,5,1,2,0
Sunderland,3,0,2,0
Reading,1,2,0,0
Birmingham,2,2,0,0
Brentford,5,1,2,0
Bristol City,1,1,1,0
Ipswich,2,2,1,2
Millwall,2,2,2,0
Preston,1,0,0,0
Sheffield United,1,2,0,0
West Brom,1,2,1,1
Wigan,3,2,2,1
Leeds,3,1,2,0
Hull,1,3,1,1
Middlesbrough,3,0,3,0
Nott'm Forest,1,1,0,0
Aston Villa,3,2,1,1
Blackburn,0,0,0,0
Bolton,2,2,0,0
Derby,1,4,1,2
Middlesbrough,1,0,1,0
Norwich,3,4,1,1
Nott'm Forest,1,0,0,0
QPR,1,2,1,1
Rotherham,1,0,0,0
Sheffield Weds,1,1,0,1
Stoke,1,1,1,0
Swansea,1,0,1,0
Birmingham,0,0,0,0
Bristol City,0,2,0,2
Hull,0,1,0,1
Ipswich,1,1,1,1
Leeds,2,0,0,0
Millwall,2,1,2,0
Preston,2,2,2,1
Reading,0,1,0,0
Sheffield United,2,1,1,1
West Brom,7,1,1,1
Wigan,2,2,2,1
Brentford,2,0,1,0
Derby,2,0,0,0
QPR,0,3,0,1
Rotherham,2,3,1,2
Swansea,2,2,1,1
Aston Villa,2,2,1,1
Blackburn,2,2,0,2
Bolton,1,0,0,0
Norwich,2,0,0,0
Sheffield Weds,2,1,1,0
Stoke,0,3,0,2
Middlesbrough,1,0,0,0
Aston Villa,1,1,0,0
Blackburn,1,0,0,0
Bolton,0,3,0,2
Derby,2,0,1,0
Norwich,0,3,0,2
Nott'm Forest,2,2,0,1
QPR,1,0,1,0
Sheffield Weds,2,1,1,1
Stoke,2,0,1,0
Swansea,0,1,0,1
Rotherham,1,0,1,0
Leeds,0,0,0,0
Birmingham,0,0,0,0
Brentford,2,1,1,0
Hull,1,2,0,1
Millwall,1,2,0,0
Preston,2,2,2,2
Reading,1,2,0,1
Sheffield United,4,1,3,0
West Brom,2,1,1,0
Wigan,1,0,0,0
Bristol City,4,1,1,1
Ipswich,1,1,0,0
Birmingham,1,1,1,1
Blackburn,1,1,0,0
Bolton,1,2,0,1
Brentford,2,0,1,0
Bristol City,1,0,0,0
Hull,2,0,1,0
Millwall,1,1,0,0
Norwich,1,0,0,0
Preston,2,3,1,1
Rotherham,1,0,0,0
Sheffield Weds,2,2,1,2
Swansea,0,0,0,0
Aston Villa,2,0,1,0
Derby,0,0,0,0
Ipswich,1,1,0,1
Leeds,3,0,1,0
Stoke,1,0,0,0
West Brom,4,2,3,0
Wigan,2,1,2,1
Middlesbrough,2,0,1,0
Nott'm Forest,2,1,1,0
QPR,2,0,2,0
Reading,1,2,0,1
Sheffield United,0,0,0,0
Wigan,1,0,0,0
Aston Villa,1,2,0,0
Derby,3,1,3,1
Ipswich,0,0,0,0
Leeds,1,2,0,2
Middlesbrough,0,0,0,0
Nott'm Forest,1,0,0,0
QPR,0,1,0,0
Reading,3,0,1,0
Sheffield United,3,2,1,0
Stoke,2,3,0,2
West Brom,2,0,0,0
Bristol City,1,1,1,1
Sheffield Weds,1,1,1,0
Birmingham,2,2,0,2
Blackburn,2,2,0,0
Bolton,1,0,1,0
Brentford,2,2,1,1
Hull,1,1,0,0
Millwall,2,3,0,1
Norwich,1,0,0,0
Preston,2,3,0,0
Rotherham,2,2,0,0
Swansea,3,0,1,0
Aston Villa,3,3,2,0
Brentford,1,1,1,1
Hull,0,1,0,0
Ipswich,0,2,0,2
Reading,0,1,0,0
Stoke,2,0,1,0
Wigan,0,0,0,0
Blackburn,0,2,0,0
Derby,1,1,0,0
Nott'm Forest,2,2,1,0
Rotherham,0,0,0,0
Sheffield Weds,2,2,2,0
Birmingham,3,1,2,0
Bolton,0,1,0,1
Leeds,1,1,0,0
Middlesbrough,0,2,0,0
Millwall,2,1,1,1
Norwich,0,1,0,1
Preston,4,0,1,0
QPR,1,1,0,1
Sheffield United,1,0,0,0
Swansea,2,3,1,2
West Brom,4,1,0,1
Bristol City,1,2,0,0
Sheffield Weds,1,2,0,0
Aston Villa,1,0,1,0
Blackburn,2,1,1,1
Brentford,0,1,0,0
Derby,2,1,1,1
Hull,1,1,0,0
Ipswich,0,2,0,2
Nott'm Forest,1,2,1,0
Reading,3,1,2,1
Rotherham,1,1,0,0
Stoke,0,1,0,0
Wigan,1,0,0,0
Birmingham,2,1,0,0
Middlesbrough,0,0,0,0
Millwall,2,1,0,1
Norwich,2,1,0,1
QPR,3,0,1,0
Sheffield United,1,1,0,0
Swansea,3,1,0,1
Bolton,0,3,0,1
Bristol City,1,0,0,0
Leeds,2,0,1,0
Preston,4,3,3,1
West Brom,1,4,0,2
QPR,1,0,1,0
Birmingham,3,1,1,1
Bolton,0,1,0,1
Bristol City,0,1,0,1
Leeds,1,1,0,1
Middlesbrough,1,1,0,1
Millwall,3,0,1,0
Norwich,1,0,1,0
Preston,1,1,1,0
Sheffield United,4,2,2,1
Swansea,2,0,1,0
West Brom,1,1,1,0
Aston Villa,2,0,1,0
Blackburn,1,0,0,0
Brentford,2,0,0,0
Derby,3,1,0,1
Hull,1,0,1,0
Ipswich,1,1,1,0
Nott'm Forest,1,0,0,0
Reading,3,2,2,2
Rotherham,2,1,0,1
Sheffield Weds,0,4,0,0
Stoke,0,0,0,0
Wigan,1,2,1,1
Sheffield United,0,0,0,0
Birmingham,3,3,2,0
Blackburn,1,1,0,0
Bolton,0,1,0,1
Bristol City,0,1,0,1
Derby,0,3,0,0
Middlesbrough,2,0,2,0
Norwich,4,3,0,1
Nott'm Forest,0,0,0,0
QPR,3,2,0,1
Reading,2,2,1,2
West Brom,4,1,0,0
Ipswich,1,2,0,1
Brentford,1,2,0,0
Hull,0,2,0,0
Leeds,2,0,0,0
Millwall,1,1,0,1
Preston,4,1,2,0
Rotherham,2,2,0,1
Sheffield Weds,1,2,1,2
Stoke,2,2,1,1
Swansea,1,4,1,3
Wigan,0,0,0,0
Aston Villa,4,2,2,1
Brentford,2,3,1,2
Hull,0,0,0,0
Leeds,1,0,0,0
Preston,1,1,1,0
Rotherham,2,2,2,1
Sheffield Weds,1,0,0,0
Aston Villa,5,5,3,3
Ipswich,2,3,1,0
Millwall,0,2,0,1
Stoke,2,1,1,0
Swansea,1,2,1,2
Wigan,3,1,1,0
Birmingham,3,0,0,0
Blackburn,4,2,1,0
Bolton,1,1,1,1
Derby,2,1,2,0
Middlesbrough,0,3,0,1
Norwich,3,1,0,1
Nott'm Forest,2,0,2,0
QPR,2,3,1,2
Reading,2,2,1,0
Sheffield United,0,1,0,0
Bristol City,1,1,0,0
West Brom,1,1,0,0
West Brom,2,2,1,1
Birmingham,0,1,0,0
Brentford,2,3,1,3
Leeds,2,1,1,1
Middlesbrough,1,1,0,1
Millwall,2,2,1,1
Norwich,3,2,1,0
Nott'm Forest,0,1,0,0
Reading,0,2,0,0
Sheffield Weds,2,2,1,0
Stoke,2,0,1,0
Wigan,0,1,0,1
Sheffield United,1,2,1,1
Aston Villa,2,2,0,0
Blackburn,2,2,1,0
Bolton,0,1,0,0
Bristol City,2,2,1,1
Hull,2,0,2,0
Ipswich,1,0,0,0
Preston,3,2,2,0
QPR,2,1,1,0
Rotherham,1,1,0,1
Swansea,2,1,0,0
Derby,0,0,0,0
Blackburn,0,1,0,0
Brentford,1,0,0,0
Derby,1,1,1,1
Hull,3,2,0,1
Ipswich,1,1,1,0
Nott'm Forest,0,1,0,1
Reading,0,1,0,0
Rotherham,0,4,0,3
Sheffield Weds,1,0,0,0
Stoke,1,0,0,0
Wigan,0,3,0,2
Aston Villa,2,3,2,0
Birmingham,2,0,1,0
Bolton,2,1,1,1
Bristol City,1,1,1,0
Leeds,3,2,1,0
Middlesbrough,0,1,0,1
Millwall,1,0,1,0
Norwich,3,3,0,1
Preston,1,2,0,1
QPR,3,0,2,0
Sheffield United,3,1,1,0
Swansea,0,1,0,0
West Brom,2,0,1,0
Birmingham,0,0,0,0
Bolton,0,0,0,0
Bristol City,1,0,0,0
Leeds,0,2,0,1
Middlesbrough,2,0,1,0
Millwall,1,0,1,0
Norwich,3,4,2,2
Preston,1,1,0,1
QPR,0,0,0,0
Sheffield United,3,0,0,0
Swansea,2,2,0,2
West Brom,1,1,0,1
Aston Villa,2,2,1,1
Blackburn,2,1,0,0
Brentford,1,1,1,0
Derby,1,1,1,0
Hull,6,0,1,0
Ipswich,2,3,1,0
Nott'm Forest,4,2,1,0
Reading,1,4,0,3
Rotherham,2,1,1,0
Sheffield Weds,1,1,1,0
Stoke,0,2,0,1
Wigan,0,3,0,1
Leeds,2,0,1,0
Birmingham,1,2,0,1
Brentford,3,1,2,1
Bristol City,2,1,0,0
Hull,3,0,1,0
Ipswich,1,0,1,0
Millwall,0,2,0,0
Preston,1,1,0,0
Reading,2,0,1,0
Sheffield United,1,0,1,0
West Brom,1,1,1,0
Wigan,3,0,1,0
Norwich,3,1,3,1
Aston Villa,2,2,1,2
Blackburn,2,0,0,0
Derby,2,1,2,0
Middlesbrough,1,1,0,1
Nott'm Forest,0,1,0,0
QPR,1,4,0,1
Rotherham,2,4,1,1
Sheffield Weds,1,0,0,0
Stoke,2,1,0,0
Swansea,1,0,0,0
Bolton,0,2,0,1
Aston Villa,2,1,1,0
Blackburn,3,0,2,0
Norwich,2,2,1,1
Nott'm Forest,3,1,1,1
Rotherham,1,2,1,0
Stoke,0,2,0,1
Bolton,1,1,0,0
Swansea,3,3,1,1
Preston,0,0,0,0
Birmingham,2,0,1,0
Brentford,5,2,1,2
Bristol City,2,0,0,0
Hull,2,0,1,0
Ipswich,0,1,0,0
Leeds,1,3,0,2
Millwall,0,0,0,0
Reading,0,0,0,0
Sheffield United,2,0,0,0
West Brom,2,3,1,1
Wigan,2,1,1,0
Aston Villa,3,3,0,1
Blackburn,0,1,0,0
Bolton,1,2,0,1
Derby,2,0,1,0
Middlesbrough,1,1,0,0
Nott'm Forest,2,1,1,0
QPR,3,4,1,4
Rotherham,1,1,1,1
Sheffield Weds,0,0,0,0
Stoke,0,1,0,1
Swansea,1,0,1,0
Norwich,3,0,1,0
Birmingham,0,1,0,0
Bristol City,2,1,0,1
Hull,2,2,2,0
Millwall,0,0,0,0
West Brom,2,2,0,1
Brentford,1,0,0,0
Ipswich,1,1,0,1
Leeds,2,1,2,0
Preston,3,1,2,0
Reading,2,1,1,0
Sheffield United,1,0,0,0
Wigan,0,0,0,0
Aston Villa,0,2,0,2
Bolton,0,4,0,3
Ipswich,1,1,0,1
Preston,0,0,0,0
Rotherham,2,2,1,1
Sheffield United,4,0,3,0
Blackburn,0,1,0,1
QPR,2,3,1,1
Derby,0,1,0,0
Birmingham,2,2,1,0
Brentford,5,1,3,1
Leeds,2,1,1,1
Middlesbrough,2,0,2,0
Millwall,1,3,0,3
Norwich,3,2,1,2
Reading,1,1,1,0
Sheffield Weds,3,1,3,0
Stoke,1,1,1,0
West Brom,0,1,0,1
Wigan,1,1,0,1
Nott'm Forest,1,0,1,0
Bristol City,1,2,0,1
Hull,2,1,2,1
QPR,1,0,0,0
Sheffield Weds,2,0,1,0
Leeds,4,0,2,0
Aston Villa,4,0,4,0
Brentford,3,0,0,0
Hull,2,0,1,0
Ipswich,1,2,0,1
Millwall,1,3,1,1
Preston,1,1,1,0
Rotherham,3,2,1,0
Stoke,2,0,1,0
Swansea,2,0,0,0
Wigan,0,0,0,0
Sheffield Weds,0,0,0,0
Derby,2,1,0,1
Norwich,1,0,0,0
Blackburn,0,1,0,1
Bolton,2,1,0,0
Bristol City,0,1,0,1
Derby,1,1,1,0
Middlesbrough,1,2,1,0
Nott'm Forest,3,0,0,0
QPR,0,0,0,0
Reading,3,2,1,1
Sheffield United,2,0,1,0
West Brom,1,1,1,0
Birmingham,0,1,0,0
Blackburn,3,0,1,0
Bolton,0,2,0,1
Bristol City,1,1,1,0
Reading,0,3,0,3
Sheffield United,2,0,1,0
Birmingham,0,2,0,2
Derby,0,0,0,0
Middlesbrough,1,2,1,0
Norwich,3,2,2,1
Nott'm Forest,1,3,1,2
QPR,1,2,0,0
West Brom,3,0,1,0
Aston Villa,3,0,2,0
Brentford,0,1,0,0
Hull,2,2,2,0
Ipswich,1,1,1,1
Leeds,0,1,0,0
Preston,1,0,0,0
Rotherham,1,2,0,1
Sheffield Weds,4,2,1,0
Stoke,0,0,0,0
Wigan,5,2,1,0
West Brom,3,2,0,1
Aston Villa,2,1,1,0
Derby,6,1,3,0
Ipswich,0,2,0,1
Leeds,3,2,1,1
Middlesbrough,0,1,0,0
Nott'm Forest,2,1,0,0
QPR,1,2,0,1
Reading,2,1,2,0
Sheffield United,2,3,1,1
Stoke,0,0,0,0
Wigan,0,0,0,0
Middlesbrough,0,1,0,1
Swansea,3,0,2,0
Birmingham,1,0,1,0
Blackburn,0,1,0,1
Bolton,1,2,0,2
Brentford,3,3,2,2
Bristol City,2,2,0,1
